opratDate,areaSdNm,areaSggNm,areaEmdNm,netInflow,floatingPop,numClosures,time,treatment
2023-01-10,부산광역시,부산진구,전포동,-83.0,3485.0,0,0,0
2023-01-10,부산광역시,사상구,괘법동,92.0,1440.0,0,0,0
2023-01-10,부산광역시,사하구,하단동,-71.0,1839.0,0,0,0
2023-01-10,부산광역시,연제구,연산동,-527.0,5041.0,0,0,0
2023-01-10,부산광역시,해운대구,좌동,149.0,2907.0,0,0,0
2023-01-10,부산광역시,해운대구,중동,-12.0,2034.0,0,0,0
2023-01-11,부산광역시,남구,대연동,-247.0,3337.0,1,0,0
2023-01-11,부산광역시,부산진구,부전동,619.0,7015.0,0,0,0
2023-01-11,부산광역시,부산진구,전포동,-47.0,3477.0,0,0,0
2023-01-11,부산광역시,사상구,괘법동,127.0,1327.0,0,0,0
2023-01-11,부산광역시,사하구,하단동,-109.0,1833.0,0,0,0
2023-01-11,부산광역시,연제구,연산동,-498.0,5014.0,0,0,0
2023-01-11,부산광역시,해운대구,좌동,138.0,2970.0,1,0,0
2023-01-11,부산광역시,해운대구,중동,17.0,2081.0,0,0,0
2023-01-12,부산광역시,남구,대연동,-255.0,3265.0,0,0,0
2023-01-12,부산광역시,부산진구,부전동,608.0,6666.0,1,0,0
2023-01-12,부산광역시,부산진구,전포동,-85.0,3231.0,1,0,0
2023-01-12,부산광역시,사상구,괘법동,120.0,1358.0,1,0,0
2023-01-12,부산광역시,사하구,하단동,-61.0,1695.0,0,0,0
2023-01-12,부산광역시,연제구,연산동,-487.0,4963.0,0,0,0
2023-01-12,부산광역시,해운대구,좌동,220.0,2842.0,0,0,0
2023-01-12,부산광역시,해운대구,중동,-60.0,1986.0,1,0,0
2023-01-13,부산광역시,남구,대연동,-214.0,2842.0,0,0,0
2023-01-13,부산광역시,부산진구,부전동,473.0,5297.0,0,0,0
2023-01-13,부산광역시,부산진구,전포동,-51.0,2801.0,0,0,0
2023-01-13,부산광역시,사상구,괘법동,89.0,1255.0,0,0,0
2023-01-13,부산광역시,사하구,하단동,-27.0,1469.0,1,0,0
2023-01-13,부산광역시,연제구,연산동,-415.0,4209.0,0,0,0
2023-01-13,부산광역시,해운대구,좌동,159.0,2259.0,1,0,0
2023-01-13,부산광역시,해운대구,중동,-14.0,1648.0,0,0,0
2023-01-14,부산광역시,남구,대연동,-183.0,2407.0,0,0,0
2023-01-14,부산광역시,부산진구,부전동,668.0,6040.0,0,0,0
2023-01-14,부산광역시,부산진구,전포동,-69.0,1957.0,0,0,0
2023-01-14,부산광역시,사상구,괘법동,42.0,1154.0,0,0,0
2023-01-14,부산광역시,사하구,하단동,-70.0,1562.0,0,0,0
2023-01-14,부산광역시,연제구,연산동,-482.0,4108.0,0,0,0
2023-01-14,부산광역시,해운대구,좌동,84.0,2278.0,0,0,0
2023-01-14,부산광역시,해운대구,중동,10.0,1578.0,0,0,0
2023-01-15,부산광역시,남구,대연동,-147.0,1627.0,0,0,0
2023-01-15,부산광역시,부산진구,부전동,397.0,4091.0,0,0,0
2023-01-15,부산광역시,부산진구,전포동,-49.0,1439.0,0,0,0
2023-01-15,부산광역시,사상구,괘법동,96.0,898.0,0,0,0
2023-01-15,부산광역시,사하구,하단동,-111.0,1067.0,0,0,0
2023-01-15,부산광역시,연제구,연산동,-249.0,2959.0,0,0,0
2023-01-15,부산광역시,해운대구,좌동,77.0,1505.0,0,0,0
2023-01-15,부산광역시,해운대구,중동,-14.0,1184.0,0,0,0
2023-01-16,부산광역시,남구,대연동,-254.0,3326.0,0,0,0
2023-01-16,부산광역시,부산진구,부전동,746.0,7122.0,1,0,0
2023-01-16,부산광역시,부산진구,전포동,-122.0,3576.0,1,0,0
2023-01-16,부산광역시,사상구,괘법동,86.0,1318.0,0,0,0
2023-01-16,부산광역시,사하구,하단동,-55.0,1751.0,0,0,0
2023-01-16,부산광역시,연제구,연산동,-601.0,5091.0,0,0,0
2023-01-16,부산광역시,해운대구,좌동,124.0,2906.0,0,0,0
2023-01-16,부산광역시,해운대구,중동,76.0,2074.0,0,0,0
2023-01-17,부산광역시,남구,대연동,-234.0,3270.0,0,0,0
2023-01-17,부산광역시,부산진구,부전동,661.0,6981.0,0,0,0
2023-01-17,부산광역시,부산진구,전포동,-38.0,3538.0,1,0,0
2023-01-17,부산광역시,사상구,괘법동,74.0,1276.0,0,0,0
2023-01-17,부산광역시,사하구,하단동,-109.0,1819.0,0,0,0
2023-01-17,부산광역시,연제구,연산동,-596.0,5046.0,0,0,0
2023-01-17,부산광역시,해운대구,좌동,209.0,2869.0,1,0,0
2023-01-17,부산광역시,해운대구,중동,33.0,2039.0,1,0,0
2023-01-18,부산광역시,남구,대연동,-258.0,3316.0,1,0,0
2023-01-18,부산광역시,부산진구,부전동,658.0,7270.0,3,0,0
2023-01-18,부산광역시,부산진구,전포동,-119.0,3437.0,0,0,0
2023-01-18,부산광역시,사상구,괘법동,115.0,1303.0,0,0,0
2023-01-18,부산광역시,사하구,하단동,-114.0,1744.0,0,0,0
